place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"winnipeg, manitoba",mb,49.87068,-97.1546,allowing use of hookah on the premises,"3 fines, $2542 each",yes,2542,3,1,business,august,unspecified,public health act,"hookah lounge named ""arabian dreams""",a winnipeg hookah lounge received 3 fines for allowing the use of hookah on the premises,https://winnipeg.ctvnews.ca/winnipeg-business-facing-over-12k-in-fines-for-breaking-public-health-orders-1.5100786,
"winnipeg, manitoba",mb,49.87068,-97.1546,allowing use of hookah on the premises,fine $2542,yes,2542,1,1,business,september,unspecified,public health act,"hookah lounge named ""arabian dreams""",a hookah lounge was fined for allowing the use of hookah on the premises,https://winnipeg.ctvnews.ca/winnipeg-business-facing-over-12k-in-fines-for-breaking-public-health-orders-1.5100786,
"winnipeg, manitoba",mb,49.89637,-97.16036,breaking public health orders,ticket $2542,yes,2542,1,1,business,september,unspecified,public health act,ibex ethiopian restaurant and lounge,an ethiopian restaurant was fined for breaking public health orders,https://winnipeg.ctvnews.ca/another-winnipeg-restaurant-has-been-ticketed-for-breaking-public-health-orders-1.5101841,
"charlottetown, prince edward island",pei,46.2382,-63.1311,hosting a gathering of more than 50 people,fine $1000,yes,1000,1,1,individual,september,charlottetown police services,public health act,20-year-old charlottetown man,"a 20-year-old charlottetown man has been fined $1,000 for hosting a party with more than 15 people inside",https://www.cbc.ca/news/canada/prince-edward-island/pei-house-party-fine-charlottetown-1.5723225,
"kingston, ontario",on,44.23042,-76.4881,hosting an indoor gathering of more than 50 people,fine $880,yes,880,1,1,individual,september,kingston police,reopening ontario act,resident in the university district,one person is fined after hosting an indoor gathering of over 50 people in the university district,https://globalnews.ca/news/7333544/kingston-police-provincial-gathering-limits-university/,
"kingston, ontario",on,44.23346,-76.49494,gathering of over 100 people,fine $880,yes,880,1,1,individual,september,kingston police,reopening ontario act,individual in the university district,one person is fined after a gathering of over 100 people in the university district,https://globalnews.ca/news/7333544/kingston-police-provincial-gathering-limits-university/,
"burnaby, british columbia",bc,49.2488,-122.9805,staying open longer than legislation permits,fine $2300,yes,2300,1,1,business,september,"city of burnaby bylaw officers, rcmp",covid-19 related measures act,lounge,"burnaby business fined $2,300 for covid-19 hours violation",https://www.citynews1130.com/2020/09/15/burnaby-business-fined-2300-for-covid-19-hours-violation/,
british columbia,bc,53.7267,-127.6476,unspecified,fine $2300,yes,2300,7,7,business,august,unspecified,covid-19 related measures act,not specified,fines were issued under the covid-19 related measures act,https://www.citynews1130.com/2020/09/15/burnaby-business-fined-2300-for-covid-19-hours-violation/,
"saskatoon, saskatchewan",sk,52.1579,-106.6702,gathering of more than 30 people,"$2,000 fine",yes,2000,1,1,individual,september,saskatoon police service,the public health act,not specified,"saskatoon homeowner fined $2,000 after 'large social gathering' leads to 21 covid-19 cases",https://www.cbc.ca/news/canada/saskatchewan/saskatoon-homeowner-fined-2k-after-event-leads-to-21-covid-19-cases-1.5728624,
"calgary, alberta",ab,50.9684,-114.0753,price gouging on covid-related items,$1500 fine,yes,1500,1,1,business,september,service alberta consumer investigations unit,consumer protection act,"man, chinese background",calgary company accused of covid-related price-gouging has been fined,https://www.cbc.ca/news/canada/calgary/cca-logistics-ppe-guilty-plea-fine-price-gouging-1.5743732,
"montreal, quebec",qc,45.5232,-73.587,mischief during an anti-mask protest,arrested,no,NA,0,1,individual,september,service de police de la ville de montral,criminal code,47 year-old man,arrest during anti-maskers gathering in montreals lafontaine park protesting against public health measures,https://globalnews.ca/news/7370131/anti-maskers-montreal-lafontaine-park-rally/,
"winnipeg, manitoba",mb,56.4627,-100.0108,disobeying public health orders regarding the travel ban north of the 53rd parallel,"$486 fine, arrested on several outstanding warrants, and charged with obstruction and failure to comply (x2)",yes,486,4,1,individual,september,rcmp,"criminal code, manitoba public health",21-year-old man,wanted winnipeg man fined $486 for disobeying public health orders,https://www.cbc.ca/news/canada/manitoba/fine-disobeying-public-health-order-manitoba-leaf-rapids-1.5743414,
"gulf islands, british columbia",bc,48.838043,-123.287727,man illegally boated across the canada-u.s. marine border,"$1000 for contravention of the quarantine act, and arrest under the customs act",yes,1000,2,1,individual,september,rcmp shiprider program,"quarantine act, customs act",49-year-old man,"boater fined $1,000 after illegally crossing marine border",https://www.straight.com/living/covid-19-rcmp-arrest-and-seize-vessel-of-us-boater-entering-bc-waters-for-violating,
"wasaga beach, ontario",on,44.5207,-80.0161,failure to comply with minimal gathering rules and physical distancing,"11 tickets for violating the reopening ontario act, 172 tickets for speeding, dangerous driving, not wearing a seatbelt and careless driving",yes,NA,183,183,individual,september,ontario provincial police,"reopening ontario act, criminal code",not specified,car rally violated covid-19 safety protocols,https://globalnews.ca/news/7364519/wasaga-beach-car-rally-coronavirus-tickets/,
"waterloo, ontario",on,43.477,-80.5256,physical distancing wasn't maintained properly,$750 fine,yes,750,1,1,business,september,region of waterloo public health and emergency services,reopening of ontario act,sandwich shop,waterloo sandwich shop fined for not following covid-19 regulations,https://kitchener.ctvnews.ca/waterloo-sandwich-shop-fined-for-not-following-covid-19-regulations-public-health-says-1.5125438,
"vancouver, british columbia",bc,49.34005,-123.03258,conveying false information with intent to injure,"court summons, charged with one count of conveying a false message with the intent to alarm",no,NA,1,1,individual,march,rcmp,criminal code,twenty-six-year-old man,man charged in hoax call to b.c. care home facing deadly covid-19 outbreak,https://globalnews.ca/news/7370347/lynn-valley-hoax-charge-coronavirus/,
"richmond, ontario",on,45.1944,-75.8388,disobeying 14-day self-isolation quarantine order,$1000 fine,yes,1000,1,1,individual,september,richmond rcmp,quarantine act,man,"richmond rcmp issued a $1,000 violation ticket to a man who refused to stay quarantined",https://www.castanet.net/news/BC/312047/Richmond-resident-fined-1-000-for-breaking-COVID-quarantine,
"toronto, ontario",on,43.6957,-79.4504,"disobeyed mandatory 14-day quarantine imposed due to recent travelling, couple fined",$1000 fine,yes,1000,1,2,individual,september,toronto police service,quarantine act,37-year-old man,anti-masker broke quarantine to speak at toronto anti-lockdown protest,https://www.cbc.ca/news/canada/toronto/toronto-anti-mask-chris-sky-quarantine-protest-1.5741822,https://ca.news.yahoo.com/police-charge-anti-masker-broke-185105576.html
"lindsay, ontario",on,44.3566,-78.7408,failure to physical distance,$880 fine,yes,880,4,4,individual,october,kawartha lakes police service,reopening ontario act,not specified,concert goers fined after alleged non-compliance,https://globalnews.ca/news/7373982/lindsay-ont-concert-goers-fined-880-after-alleged-non-compliance-with-reopening-ontario-act/,
"montreal, quebec",qc,45.5271,-73.5695,failure to wear mask during anti-mask march,$400 ,yes,400,5,5,individual,september,city of montreal police service,public health act,not specified,protesters without masks fined at anti-mask march,https://montrealgazette.com/news/protesters-without-masks-fined-400-each-at-anti-mask-march,
"west vancouver, british columbia",bc,49.3286,-123.1602,advertising a party on social media,fine $230,yes,230,1,1,individual,september,west vancouver police,public health order,not specified,police responded to a noise complaint and fined a party promoter for violating a public health order,https://www.nsnews.com/news/owner-of-west-van-party-house-fined-for-short-term-rental-1.24203668,
"wolfville, nova scotia",ns,45.0918,-64.3598,failing to self-isolate after arriving from outside of the atlantic bubble,fine $1000,yes,1000,1,1,individual,september,royal canadian mounted police,health protection act,student,"nova scotia student hit with $1,000 fine for failing to self-isolate",https://globalnews.ca/news/7331029/coronavirus-nova-scotia-fine-university-student/,
"wolfville, nova scotia",ns,45.0918,-64.3598,failing to self-isolate after arriving from outside of the atlantic bubble,fine,yes,NA,1,1,individual,september,royal canadian mounted police,health protection act,university student,one university student is fined for failing to self-isolate after arriving from outside of the atlantic bubble,https://www.thechronicleherald.ca/news/provincial/wolfville-university-student-given-1000-ticket-for-failing-to-self-isolate-496147/,
"antigonish, nova scotia",ns,45.6227,-61.9928,failing to self-isolate after arriving from outside of the atlantic bubble,fine,yes,NA,3,3,individual,september,royal canadian mounted police,health protection act,university students,three university students were fined for failing to self-isolate after arriving from outside of the atlantic bubble,https://www.thechronicleherald.ca/news/provincial/wolfville-university-student-given-1000-ticket-for-failing-to-self-isolate-496147/,
"kingston, ontario",on,44.2312,-76.486,amplified sound,fine,yes,NA,45,45,individual,september,kingston bylaw officers and kingston police,municipal bylaws,targeting university students,45 tickets were issued for amplified sound,https://globalnews.ca/news/7325990/kingston-students-tickets-partying-parks-closed-coronavirus/,
"kingston, ontario",on,44.2312,-76.486,yelling or shouting,fine,yes,NA,2,2,individual,september,kingstong bylaw officers and kingston police,municipal bylaws,targeting students,2 people were fined for yelling or shouting,https://globalnews.ca/news/7325990/kingston-students-tickets-partying-parks-closed-coronavirus/,
"kingston, ontario",on,44.2312,-76.486,nuisance (party),fine,yes,NA,1,1,individual,september,kingston bylaw officers and kingston police,municipal bylaws,targeting students,one person is fined for nuisance in relation to a party,https://globalnews.ca/news/7325990/kingston-students-tickets-partying-parks-closed-coronavirus/,
